Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Type","Range of Values","Drive Size","Includes","Features","Quantity"
-,-,80576-ND,80576,Apex Tool Group,SET SKT 1/4 & 3/8DR 12MM 10PC,0,0,"56.98000","0","1","-","Active","Socket Set","12 Point Socket","-","1/4"", 3/4""","-","-","10 Pieces"
-,-,80722-ND,80722,Apex Tool Group,SET SKT TORX PRS FIT BIT 10PC,0,0,"57.24000","0","6","-","Active","Socket Set","Torx®","-","1/4"", 3/4""","-","-","10 Pieces"
-,-,80309D-ND,80309D,Apex Tool Group,SET SKT DP SAE 1/4DR 10PC,0,0,"58.88000","0","10","-","Active","Socket Set","12 Point Socket","-","1/4""","-","-","10 Pieces"
-,-,80304S-ND,80304S,Apex Tool Group,SET SKT MID LNGTH 1/4DR 6PT 13PC,0,0,"59.13000","0","1","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","13 Pieces"
-,-,80281-ND,80281,Apex Tool Group,SET SKT HEX STUBBY MET 1/4 & 3/8,0,0,"59.69000","0","20","-","Not For New Designs","Socket Set","Hex","-","1/4"", 3/4""","-","-","-"
-,-,80994-ND,80994,Apex Tool Group,SET SKT FLX TORX 1/4DR 5PC,0,0,"59.74000","0","20","-","Not For New Designs","Socket Set","Torx®","-","1/4""","-","-","5 Pieces"
-,-,84914N-ND,84914N,Apex Tool Group,SET SKT IMP DP MET 3/8DR 13PC,0,0,"60.72000","0","1","-","Active","Socket Set","6 Point Socket","-","3/4""","-","-","13 Pieces"
https://cdn.wihatoolsus.com/pdfs/WihaBitsCatalog.pdf,//media.digikey.com/Photos/Wiha/MFG_71999.jpg,431-2047-ND,71999,Wiha,SOCKET SET HEX TR 3/8"" 9PC,5,0,"61.46000","0","1","-","Active","Socket Set","Hex TR (Security)","5/64"" ~ 1/4""","3/8""","Storage Rail","Replaceable Bits","9 Pieces"
-,-,CSWS11N-ND,CSWS11N,Apex Tool Group,"12PC,1/2"" DR SCKT WR SET,SAE,BLO",0,0,"61.50000","0","1","-","Active","Socket Set","12 Point Socket","-","1/2""","-","-","12 Pieces"
-,-,CSWS12N-ND,CSWS12N,Apex Tool Group,"12 PC,1/2"" DRIVE SCKT WR SET,SAE",0,0,"61.50000","0","5","-","Active","Socket Set","12 Point Socket","-","1/2""","-","-","12 Pieces"
-,-,CSWS8N-ND,CSWS8N,Apex Tool Group,"25PC,3/8"" DRIVE SCKT WR SET,STD/",0,0,"61.50000","0","1","-","Active","Socket Set","6 Point Socket, 12 Point Socket","-","3/8""","-","-","25 Pieces"
