Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","End - Size","Features","Length"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Open-Ended%20Spanners.pdf,//media.digikey.com/Photos/Wiha/MFG_20006.jpg,431-1425-ND,20133,Wiha,WRENCH OPEN END 5/16"" 3.94"",30,0,"26.92000","0","1","-","Active","Open End (Single)","5/16""","Angled 15°, Insulated to 1000V","3.94"" (100.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Insulated%20Open-Ended%20Spanners.pdf,//media.digikey.com/Photos/Wiha/MFG_20192.jpg,431-1091-ND,20192,Wiha,WRENCH SET OPEN END 5/16""-3/4"",6,0,"259.96000","0","1","-","Active","Wrench Set","5/16"" ~ 3/4""","Set of 8, Includes Roll Up Pouch, Insulated to 1000V","Assorted"
-,-,CCW4-ND,CCW4,Apex Tool Group,"7/16"" COMBINATION WRENCH,SAE,FL",90,0,"5.86000","0","1","-","Active","Combination","7/16""","Polished Chrome Finish","6.50"" (165.1mm)"
https://www.jonard.com/~/media/D2ABDF4E9B02485690C794D70DEB7D07.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_TWAF-71620.jpg,K692-ND,TWAF-71620,Jonard Tools,WRENCH TORQUE 7/16"" 6.5"",28,0,"31.06000","0","1","TWAF","Active","Torque Wrench","7/16""","20 in-lbs (2.3Nm) Torque, 15°, Audible Click, Black Oxide Finish, Ergonomic, Soft Grip","6.50"" (165.1mm)"
https://www.jonard.com/~/media/D2ABDF4E9B02485690C794D70DEB7D07.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_TWAF-71625.jpg,K705-ND,TWAF-71625,Jonard Tools,TORQUE WRENCH FULL 7/16 25IN/LB,14,0,"31.06000","0","1","-","Active","Torque Wrench","7/16""","25 in-lbs (2.82Nm) Torque, 15°, Audible Click, Black Oxide Finish, Ergonomic, Soft Grip","6.5"" (165.1mm)"
https://www.jonard.com/~/media/D2ABDF4E9B02485690C794D70DEB7D07.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_TWAF-71640.jpg,K722-ND,TWAF-71640,Jonard Tools,WRENCH TORQUE 7/16"" 6.5"",10,0,"31.06000","0","1","TWAF","Active","Torque Wrench","7/16""","40 in-lbs (4.52Nm) Torque, 15°, Audible Click, Black Oxide Finish, Ergonomic Soft Grip","6.50"" (165.1mm)"
https://www.jonard.com/~/media/D2ABDF4E9B02485690C794D70DEB7D07.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_TWAF-71630.jpg,K721-ND,TWAF-71630,Jonard Tools,WRENCH TORQUE 7/16"" 6.5"",6,0,"31.06000","0","1","TWAF","Active","Torque Wrench","7/16""","30 in-lbs (3.4Nm) Torque, 15°, Audible Click, Black Oxide Finish, Ergonomic, Soft Grip","6.50"" (165.1mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_D507-6.jpg,D507-6-ND,D507-6,"Klein Tools, Inc.",WRENCH ADJUSTABLE 5/16"" 6.5"",6,0,"33.01000","0","1","-","Active","Adjustable","5/16""","Chrome Finish, Soft Grip","6.50"" (165.0mm)"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Wrenches.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_507-6.jpg,1742-1504-ND,507-8,"Klein Tools, Inc.",WRENCH ADJUSTABLE 1-1/8"" 8.13"",9,0,"34.94000","0","1","-","Active","Adjustable","1-1/8""","Chrome Finish","8.13"" (206.5mm)"
-,//media.digikey.com/Photos/Jonard%20Tools/MFG_AW-6810.jpg,K729-ND,AW-6810,Jonard Tools,WRENCH SET 5/16"" - 1-5/16"" ASST,8,0,"37.47000","0","1","AW","Active","Wrench Set","5/16"" ~ 1-5/16""","Set of 3, Polished Chrome Finish, Soft Grip, Wide Capacity","Assorted"
