Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status"
-,-,115-095-909-168M100-ND,095-909-168M100,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-095-909-164-072-ND,095-909-164-072,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-HSDSPZSPZ06-21-ND,HSDSPZSPZ06-21,Amphenol RF Division,HSD STRAIGHT PLUG TO HSD STRAIGH,0,0,"Active","0","0","*","Active"
-,-,115-HSDSJZSPZ06-17-ND,HSDSJZSPZ06-17,Amphenol RF Division,HSD STRAIGHT JACK TO HSD STRAIGH,0,0,"Active","0","0","*","Active"
-,-,115-095-909-164-060-ND,095-909-164-060,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,115-095-909-168-072-ND,095-909-168-072,Amphenol RF Division,"ATC-PS TEST CABLE ASSEMBLY, N-TY",0,0,"Active","0","0","*","Active"
-,-,2019-RK73B2ATTD1R2GTR-ND,RK73B2ATTD1R2G,"KOA Speer Electronics, Inc.",RESISTOR  THICK FILM,0,0,"Active","0","0","*","Active"
-,-,2019-RK73B2ATTD9R1GTR-ND,RK73B2ATTD9R1G,"KOA Speer Electronics, Inc.",RESISTOR  THICK FILM,0,0,"Active","0","0","*","Active"
-,-,2019-RK73B2ATTD515GTR-ND,RK73B2ATTD515G,"KOA Speer Electronics, Inc.",RESISTOR  THICK FILM,0,0,"Active","0","0","*","Active"
-,-,2019-RK73B2ATTD203GTR-ND,RK73B2ATTD203G,"KOA Speer Electronics, Inc.",RESISTOR  THICK FILM,0,0,"Active","0","0","*","Active"
-,-,2019-RK73B2ATTD2R2GTR-ND,RK73B2ATTD2R2G,"KOA Speer Electronics, Inc.",RESISTOR  THICK FILM,0,0,"Active","0","0","*","Active"
