Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Arm Length","Base Size"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-545.pdf,-,26800B-545-ND,26800B-545,Aven Tools,DUAL ARM BOOM STAND 12.5""H 16""V,0,0,"Obsolete","0","1","-","Obsolete","Stand, Dual Arm Boom","12.5"" (317.5mm) Horizontal, 16.0"" (406.4mm) Vertical","17.00"" x 20.00"" (431.80mm x 508.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-550.pdf,-,26800B-550-ND,26800B-550,Aven Tools,ARTICULATING BOOM ARM 30""H 15""V,0,0,"Obsolete","0","1","-","Obsolete","Arm, Articulating Boom","30.0"" (762.0mm) Horizontal, 15.0"" (381.0mm) Vertical","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-555.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-555.jpg,26800B-555-ND,26800B-555,Aven Tools,ARTICULATING BOOM ARM 30""H 15""V,0,0,"Obsolete","0","1","-","Obsolete","Arm, Articulating Boom","30.0"" (762.0mm) Horizontal, 15.0"" (381.0mm) Vertical","17.00"" x 20.00"" (431.80mm x 508.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-575.pdf,-,26800B-575-ND,26800B-575,Aven Tools,STAND ERGO W/SAFETY CLAMP 16"",0,0,"Obsolete","0","1","-","Obsolete","Stand","16.0"" (406.4mm)","13.00"" x 13.00"" (330.20mm x 330.20mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/STAND%20L.pdf,-,STANDL-ND,STAND L,Aven Tools,STAND FOCUS MOUNT,0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","-","6.30"" x 8.62"" (160.00mm x 219.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/STAND%20P.pdf,-,STANDP-ND,STAND P,Aven Tools,STAND FOCUS MOUNT 9.8"",0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","9.8"" (250.0mm)","8.66"" x 11.18"" (220.00mm x 284.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/STAND%20PF.pdf,-,STANDPF-ND,STAND PF,Aven Tools,STAND FOCUS MOUNT 9.8"",0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","9.8"" (250.0mm)","8.66"" x 11.18"" (220.00mm x 284.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/STAND%20PFL.pdf,-,STANDPFL-ND,STAND PFL,Aven Tools,STAND FOCUS MOUNT 9.8"",0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","9.8"" (250.0mm)","8.66"" x 11.18"" (220.00mm x 284.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/STAND%20PFM.pdf,-,STANDPFM-ND,STAND PFM,Aven Tools,STAND FOCUS MOUNT 9.8"",0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","9.8"" (250.0mm)","8.66"" x 11.18"" (220.00mm x 284.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/STAND%20T.pdf,-,STANDT-ND,STAND T,Aven Tools,STAND FOCUS MOUNT,0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","-","6.30"" x 8.62"" (160.00mm x 219.00mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-400-STN.jpg,26700-400-STN-ND,26700-400-STN,Aven Tools,REPLACEMENT STAND CYCLOPS 11.5"",0,0,"Obsolete","0","1","Cyclops","Obsolete","Stand","11.5"" (292.0mm)","8.50"" x 5.98"" (216.00mm x 152.00mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-508.jpg,26800B-508-ND,26800B-508,Aven Tools,STAND FOCUS MOUNT W/LIGHT SSZ-30,0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","-","8.27"" x 10.94"" (210.00mm x 278.00mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-509.jpg,26800B-509-ND,26800B-509,Aven Tools,STAND FOCUS MOUNT 10"",0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","10.0"" (255.0mm)","8.27"" x 10.94"" (210.00mm x 278.00mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-510.jpg,26800B-510-ND,26800B-510,Aven Tools,STAND FOCUS MOUNT 10"",0,0,"Obsolete","0","1","-","Obsolete","Stand, Focus Mount","10.0"" (255.0mm)","8.27"" x 10.94"" (210.00mm x 278.00mm)"
